date,import_value
2018-04-01,9.54366071798906
2018-05-01,14.999156744340723
2018-06-01,19.364207117140303
2018-07-01,19.539143802007256
2018-08-01,20.09339696041427
2018-09-01,14.892862487754371
2018-10-01,13.258838966772826
2018-11-01,8.284261339615128
2018-12-01,4.418702020903926
2019-01-01,8.712734932970566
2019-02-01,11.432210693715161
2019-03-01,10.228095237470079
2019-04-01,25.44319744573061
2019-05-01,25.076571593317343
2019-06-01,25.135393162565606
2019-07-01,26.330111000565523
2019-08-01,32.13692969978089
2019-09-01,19.677253208598184
2019-10-01,22.377451650189915
2019-11-01,20.13656930302669
2019-12-01,15.810683491446083
2020-01-01,16.42778231619
2020-02-01,17.025151416437403
2020-03-01,21.35853341457227
2020-04-01,23.374514905011424
2020-05-01,33.63754434907199
2020-06-01,31.18904608118641
2020-07-01,31.100166785124436
2020-08-01,34.869300100137224
2020-09-01,29.641340894030492
2020-10-01,28.763730992020566
2020-11-01,27.272238584186084
2020-12-01,22.582963271656148
2021-01-01,20.920294984919973
2021-02-01,29.774092072322674
2021-03-01,34.5085614215132
2021-04-01,34.58222943449254
2021-05-01,37.35905237504403
2021-06-01,46.795449341489444
2021-07-01,41.10497928827359
2021-08-01,41.997241771257116
2021-09-01,40.73215799124123
2021-10-01,40.14032255698232
2021-11-01,36.90700000065489
2021-12-01,29.39228012699907
2022-01-01,34.548371225629936
2022-02-01,39.198898567951694
2022-03-01,36.505586885563574
2022-04-01,41.75290299331765
2022-05-01,50.89086619520874
2022-06-01,51.133231521893826
2022-07-01,55.598366879804075
2022-08-01,49.004795351401725
2022-09-01,46.287726554558134
2022-10-01,38.90087454886448
2022-11-01,35.98888463282412
2022-12-01,41.46766550854365
2023-01-01,42.159717090115755
2023-02-01,47.69257537444259
2023-03-01,51.18776666645757
