Date,Forecast,Lower_CI,Upper_CI
2023-04-30,51.18776666645757,41.38307215182015,60.99246118109499
2023-05-31,51.18776666645757,37.32183470893293,65.0536986239822
2023-06-30,51.18776666645757,34.205537614414816,68.16999571850033
2023-07-31,51.18776666645757,31.5783776371842,70.79715569573094
2023-08-31,51.18776666645757,29.263803233110742,73.11173009980439
2023-09-30,51.18776666645757,27.171268021732715,75.20426531118243
2023-10-31,51.18776666645757,25.246983299770033,77.1285500331451
2023-11-30,51.18776666645757,23.455902751409333,78.9196305815058
2023-12-31,51.18776666645757,21.77368312254792,80.60185021036722
2024-01-31,51.18776666645757,20.182600238046987,82.19293309486815
2024-02-29,51.18776666645757,18.669273777352444,83.7062595555627
2024-03-31,51.18776666645757,17.223308562372907,85.15222477054223
2024-04-30,51.18776666645757,15.8364378536751,86.53909547924005
2024-05-31,51.18776666645757,14.501959010705924,87.87357432220921
2024-06-30,51.18776666645757,13.214348096619169,89.16118523629598
2024-07-31,51.18776666645757,11.968988607911562,90.40654472500358
2024-08-31,51.18776666645757,10.761975555697198,91.61355777721795
2024-09-30,51.18776666645757,9.589970793885499,92.78556253902964
2024-10-31,51.18776666645757,8.450094104869521,93.92543922804562
2024-11-30,51.18776666645757,7.339839799764569,95.03569353315058
2024-12-31,51.18776666645757,6.257011887217551,96.11852144569758
2025-01-31,51.18776666645757,5.199672994752262,97.17586033816288
2025-02-28,51.18776666645757,4.166103636712613,98.20942969620253
2025-03-31,51.18776666645757,3.1547693770084635,99.22076395590668
